rank,feature,importance
1,t00_kp32_x,0.00968548
2,t04_kp32_x,0.00938595
3,t09_kp32_x,0.00935651
4,t05_kp32_x,0.00909435
5,t27_kp00_x,0.00814068
6,t03_kp32_x,0.00796933
7,t02_kp32_x,0.00779007
8,t21_kp32_x,0.00741250
9,t10_kp32_x,0.00732135
10,t02_kp30_x,0.00706316
11,t29_kp10_x,0.00677100
12,t26_kp08_x,0.00671273
13,t01_kp32_x,0.00658809
14,t04_kp30_x,0.00653467
15,t29_kp05_x,0.00629339
16,t27_kp05_x,0.00625134
17,t15_kp32_x,0.00609032
18,t00_kp30_x,0.00588566
19,t12_kp32_x,0.00581082
20,t28_kp06_x,0.00579273
21,t07_kp32_x,0.00578035
22,t08_kp32_x,0.00567275
23,t27_kp10_x,0.00562745
24,t06_kp30_x,0.00546592
25,t17_kp32_x,0.00538781
26,t29_kp08_x,0.00531969
27,t06_kp32_x,0.00526764
28,t29_kp00_x,0.00522860
29,t00_kp28_x,0.00519522
30,t26_kp06_x,0.00516675
31,t26_kp05_x,0.00509039
32,t02_kp28_x,0.00503460
33,t09_kp30_x,0.00503444
34,t13_kp30_x,0.00498112
35,t28_kp10_x,0.00488182
36,t03_kp30_x,0.00479142
37,t26_kp10_x,0.00478380
38,t08_kp28_x,0.00453631
39,t10_kp30_x,0.00452264
40,t29_kp09_x,0.00446942
41,t05_kp30_x,0.00430114
42,t28_kp09_x,0.00427934
43,t28_kp08_x,0.00425422
44,t28_kp00_x,0.00423372
45,t28_kp03_x,0.00420835
46,t25_kp02_x,0.00410664
47,t27_kp09_x,0.00410620
48,t07_kp30_x,0.00406450
49,t27_kp08_x,0.00405061
50,t29_kp02_x,0.00397448
51,t01_kp30_x,0.00391030
52,t29_kp06_x,0.00391002
53,t11_kp32_x,0.00385109
54,t24_kp32_x,0.00381287
55,t28_kp05_x,0.00368835
56,t29_kp04_x,0.00367500
57,t03_kp28_x,0.00340811
58,t05_kp28_x,0.00339754
59,t27_kp03_x,0.00337905
60,t23_kp09_x,0.00333310
61,t24_kp10_x,0.00323067
62,t07_kp31_x,0.00317318
63,t23_kp32_x,0.00316952
64,t24_kp09_x,0.00316083
65,t20_kp32_x,0.00315121
66,t06_kp28_x,0.00314332
67,t18_kp32_x,0.00313684
68,t10_kp28_x,0.00312353
69,t28_kp01_x,0.00309636
70,t03_kp31_x,0.00308587
71,t26_kp09_x,0.00307708
72,t14_kp32_x,0.00301835
73,t16_kp32_x,0.00299526
74,t08_kp31_x,0.00299052
75,t25_kp32_x,0.00297333
76,t25_kp10_x,0.00297108
77,t15_kp28_x,0.00290581
78,t28_kp04_x,0.00283774
79,t23_kp03_x,0.00281939
80,t12_kp30_x,0.00280306
81,t04_kp31_x,0.00279605
82,t27_kp06_x,0.00277042
83,t01_kp31_x,0.00275226
