rank,feature,importance
1,t29_kp30_x,0.01035202
2,t27_kp30_x,0.00969019
3,t23_kp30_x,0.00912141
4,t24_kp30_x,0.00860319
5,t28_kp30_x,0.00716982
6,t22_kp30_x,0.00671118
7,t27_kp13_x,0.00604535
8,t25_kp30_x,0.00598710
9,t26_kp30_x,0.00536202
10,t29_kp13_x,0.00478812
11,t02_kp17_x,0.00465728
12,t20_kp30_x,0.00443233
13,t04_kp17_x,0.00423240
14,t19_kp30_x,0.00422793
15,t05_kp15_x,0.00419196
16,t26_kp13_x,0.00414934
17,t29_kp28_x,0.00414052
18,t00_kp17_x,0.00398399
19,t28_kp13_x,0.00385103
20,t23_kp13_x,0.00379069
21,t24_kp13_x,0.00358953
22,t03_kp17_x,0.00346736
23,t21_kp30_x,0.00327557
24,t01_kp17_x,0.00320931
25,t06_kp17_x,0.00303513
26,t08_kp17_x,0.00290624
27,t05_kp17_x,0.00266305
28,t28_kp28_x,0.00263466
29,t00_kp16_y,0.00261839
30,t10_kp15_x,0.00253217
31,t01_kp14_y,0.00247463
32,t02_kp14_y,0.00245543
33,t15_kp30_x,0.00243658
34,t03_kp16_y,0.00234173
35,t17_kp30_x,0.00232611
36,t01_kp15_x,0.00232050
37,t02_kp15_x,0.00231508
38,t27_kp15_x,0.00229031
39,t07_kp17_x,0.00226773
40,t22_kp13_x,0.00223176
41,t25_kp13_x,0.00220430
42,t16_kp30_x,0.00217666
43,t02_kp16_y,0.00216131
44,t06_kp15_x,0.00214040
45,t18_kp13_x,0.00212457
46,t13_kp15_x,0.00201939
47,t00_kp15_x,0.00197361
48,t29_kp13_y,0.00195982
49,t01_kp16_y,0.00194729
50,t14_kp30_x,0.00194318
51,t08_kp15_x,0.00194186
52,t26_kp15_x,0.00192630
53,t01_kp21_x,0.00188732
54,t19_kp13_x,0.00187626
55,t25_kp28_x,0.00187338
56,t26_kp28_x,0.00187226
57,t00_kp14_y,0.00186559
58,t00_kp21_x,0.00185657
59,t02_kp19_x,0.00185435
60,t00_kp13_y,0.00184824
61,t11_kp14_y,0.00184756
62,t13_kp17_x,0.00184492
63,t09_kp14_y,0.00179969
64,t07_kp14_y,0.00179885
65,t12_kp15_x,0.00179708
66,t16_kp14_y,0.00178477
67,t29_kp32_x,0.00178456
68,t14_kp15_x,0.00178015
69,t10_kp17_x,0.00175064
70,t28_kp11_x,0.00174227
71,t06_kp21_x,0.00174178
72,t09_kp15_x,0.00173786
73,t12_kp17_x,0.00172913
74,t18_kp17_x,0.00172319
75,t01_kp18_y,0.00172290
76,t11_kp22_x,0.00171938
77,t02_kp18_y,0.00171905
78,t02_kp13_y,0.00169898
79,t28_kp13_y,0.00169386
80,t29_kp16_x,0.00168959
81,t27_kp28_x,0.00167795
82,t27_kp31_x,0.00167495
83,t13_kp30_x,0.00167333
84,t12_kp22_x,0.00167202
85,t03_kp14_y,0.00166984
86,t13_kp22_x,0.00166846
87,t03_kp22_x,0.00165440
88,t01_kp13_y,0.00165256
89,t18_kp30_x,0.00162745
90,t11_kp15_x,0.00162605
91,t27_kp32_x,0.00162380
92,t25_kp11_x,0.00161658
93,t02_kp30_x,0.00161040
94,t05_kp14_y,0.00160882
95,t24_kp28_x,0.00154844
96,t29_kp11_x,0.00154819
97,t06_kp14_y,0.00154665
98,t00_kp22_x,0.00154611
99,t26_kp13_y,0.00154505
100,t28_kp22_x,0.00153894
101,t10_kp20_x,0.00153702
102,t28_kp31_x,0.00152552
103,t00_kp30_x,0.00152166
104,t04_kp22_x,0.00150611
105,t03_kp15_x,0.00150293
106,t29_kp18_x,0.00149965
107,t09_kp22_x,0.00148780
108,t02_kp22_x,0.00148649
109,t27_kp13_y,0.00146573
110,t12_kp30_x,0.00145754
111,t00_kp18_y,0.00145512
112,t26_kp18_x,0.00145263
113,t02_kp21_x,0.00144992
114,t27_kp11_x,0.00144351
115,t16_kp13_x,0.00142856
116,t28_kp32_x,0.00142118
117,t14_kp17_x,0.00141894
118,t01_kp20_x,0.00141752
119,t21_kp31_x,0.00141470
120,t22_kp15_x,0.00141170
121,t26_kp32_x,0.00140629
122,t07_kp30_x,0.00139511
123,t29_kp22_x,0.00138978
124,t04_kp14_y,0.00137349
125,t22_kp28_x,0.00136092
126,t08_kp22_x,0.00135339
127,t01_kp22_x,0.00134984
128,t22_kp17_x,0.00134253
129,t19_kp14_y,0.00134019
130,t11_kp17_x,0.00133373
131,t19_kp17_x,0.00132990
132,t10_kp14_y,0.00132750
133,t27_kp16_x,0.00132624
134,t06_kp19_x,0.00132573
135,t29_kp20_x,0.00131385
136,t22_kp29_x,0.00130928
137,t06_kp20_x,0.00130461
138,t29_kp29_x,0.00129425
139,t29_kp31_x,0.00129174
140,t11_kp21_x,0.00128949
141,t10_kp22_x,0.00128802
