rank,feature,importance
1,t24_kp30_x,0.01754859
2,t21_kp32_x,0.01707191
3,t24_kp32_x,0.01536184
4,t19_kp30_x,0.01393834
5,t23_kp30_x,0.01285901
6,t17_kp30_x,0.01284050
7,t22_kp30_x,0.01250879
8,t20_kp30_x,0.01228014
9,t18_kp30_x,0.01225336
10,t27_kp30_x,0.01156822
11,t28_kp32_x,0.01050200
12,t16_kp30_x,0.01031397
13,t23_kp32_x,0.01029407
14,t28_kp30_x,0.01002898
15,t15_kp30_x,0.01001158
16,t09_kp30_x,0.00976484
17,t21_kp30_x,0.00945970
18,t29_kp30_x,0.00755718
19,t20_kp28_x,0.00732941
20,t25_kp32_x,0.00730394
21,t22_kp32_x,0.00730124
22,t13_kp30_x,0.00723748
23,t25_kp30_x,0.00718553
24,t15_kp32_x,0.00672087
25,t19_kp28_x,0.00664388
26,t18_kp32_x,0.00638446
27,t26_kp32_x,0.00619786
28,t12_kp30_x,0.00577427
29,t27_kp32_x,0.00565031
30,t14_kp30_x,0.00531179
31,t24_kp13_x,0.00514783
32,t20_kp32_x,0.00498482
33,t22_kp28_x,0.00494673
34,t17_kp32_x,0.00446050
35,t21_kp28_x,0.00440911
36,t26_kp30_x,0.00435280
37,t17_kp28_x,0.00428300
38,t18_kp28_x,0.00415493
39,t11_kp30_x,0.00412567
40,t16_kp32_x,0.00410709
41,t10_kp30_x,0.00408218
42,t26_kp28_x,0.00398439
43,t15_kp13_x,0.00397722
44,t14_kp13_x,0.00393649
45,t11_kp18_x,0.00371711
46,t19_kp32_x,0.00363457
47,t23_kp13_x,0.00360024
48,t29_kp32_x,0.00355526
49,t10_kp22_x,0.00338231
50,t27_kp13_x,0.00330631
51,t16_kp28_x,0.00326502
52,t12_kp13_x,0.00325104
53,t11_kp16_x,0.00321495
54,t06_kp11_x,0.00314834
55,t29_kp13_x,0.00308582
56,t27_kp29_y,0.00303937
57,t19_kp13_x,0.00301123
58,t13_kp22_x,0.00296499
59,t18_kp13_x,0.00288479
60,t28_kp28_x,0.00281912
61,t26_kp29_y,0.00275772
62,t23_kp28_x,0.00274381
63,t14_kp32_x,0.00273143
64,t12_kp32_x,0.00270725
65,t21_kp13_x,0.00265417
66,t28_kp13_x,0.00257150
67,t16_kp13_x,0.00256503
68,t22_kp13_x,0.00252166
69,t29_kp28_x,0.00251734
70,t11_kp13_x,0.00246931
71,t08_kp11_x,0.00245736
72,t26_kp13_x,0.00245339
73,t09_kp22_x,0.00240037
74,t17_kp13_x,0.00234973
75,t10_kp12_x,0.00233338
76,t10_kp13_x,0.00231456
77,t26_kp27_y,0.00228100
78,t08_kp18_x,0.00221735
79,t23_kp11_y,0.00220175
80,t10_kp16_x,0.00218770
81,t29_kp29_y,0.00216453
82,t08_kp30_x,0.00215837
83,t22_kp11_y,0.00210930
84,t27_kp28_x,0.00203954
85,t17_kp17_y,0.00202466
86,t17_kp11_y,0.00199038
87,t27_kp27_y,0.00196373
88,t12_kp22_x,0.00194421
89,t23_kp29_y,0.00192390
90,t08_kp22_x,0.00191458
91,t06_kp30_x,0.00184307
92,t13_kp13_x,0.00182178
93,t25_kp13_x,0.00180641
94,t19_kp11_y,0.00178049
95,t14_kp18_x,0.00176851
96,t23_kp29_x,0.00176736
97,t15_kp11_y,0.00176718
98,t20_kp13_x,0.00175886
99,t18_kp11_y,0.00174612
100,t28_kp27_y,0.00174129
101,t14_kp28_x,0.00172673
102,t16_kp11_y,0.00172359
103,t25_kp28_x,0.00171497
104,t24_kp11_y,0.00169982
105,t24_kp28_x,0.00169597
106,t08_kp16_x,0.00169382
107,t27_kp11_y,0.00168895
108,t25_kp29_y,0.00167463
109,t08_kp20_x,0.00166956
110,t28_kp29_y,0.00165359
111,t26_kp11_y,0.00165210
112,t02_kp11_x,0.00164085
113,t12_kp12_x,0.00162259
114,t24_kp29_y,0.00161590
115,t05_kp11_x,0.00160585
116,t17_kp19_y,0.00160381
117,t12_kp16_x,0.00160235
118,t11_kp11_x,0.00160200
119,t10_kp20_x,0.00157539
120,t28_kp17_x,0.00157339
121,t10_kp11_x,0.00157295
122,t07_kp18_x,0.00156834
123,t25_kp11_y,0.00156095
124,t21_kp11_y,0.00154936
125,t08_kp21_x,0.00154876
126,t14_kp15_x,0.00154612
127,t04_kp21_x,0.00153882
128,t10_kp15_x,0.00153624
129,t07_kp12_x,0.00152806
130,t08_kp19_x,0.00152741
131,t12_kp10_x,0.00151892
132,t10_kp21_x,0.00151739
133,t11_kp08_x,0.00151610
134,t07_kp21_x,0.00151323
135,t28_kp11_y,0.00151247
136,t11_kp20_x,0.00149706
137,t11_kp12_x,0.00148826
138,t21_kp29_y,0.00147456
139,t15_kp17_y,0.00146383
140,t24_kp27_y,0.00146104
141,t22_kp29_y,0.00145936
142,t09_kp16_x,0.00142396
143,t20_kp11_y,0.00140936
144,t14_kp11_y,0.00140832
145,t29_kp27_y,0.00137612
146,t26_kp30_y,0.00135924
147,t28_kp30_y,0.00134255
148,t12_kp20_x,0.00132931
149,t17_kp15_y,0.00131740
150,t29_kp30_y,0.00129244
151,t06_kp22_x,0.00128657
152,t16_kp20_x,0.00127852
153,t18_kp20_x,0.00127728
154,t07_kp16_x,0.00127211
155,t25_kp27_y,0.00122849
156,t08_kp17_x,0.00118875
157,t12_kp18_x,0.00117227
158,t17_kp20_x,0.00116894
159,t27_kp30_y,0.00116413
160,t04_kp22_x,0.00114017
161,t29_kp11_y,0.00113086
162,t04_kp12_x,0.00112446
163,t13_kp16_x,0.00112419
164,t06_kp16_x,0.00109756
165,t16_kp21_y,0.00108830
166,t10_kp17_x,0.00107631
167,t07_kp22_x,0.00106724
168,t08_kp13_x,0.00106582
169,t27_kp21_x,0.00106440
170,t25_kp15_x,0.00105059
171,t12_kp11_y,0.00104716
172,t15_kp28_x,0.00104697
173,t25_kp23_y,0.00100708
174,t22_kp07_y,0.00100707
175,t12_kp08_x,0.00100550
176,t29_kp07_y,0.00099532
177,t18_kp17_y,0.00099466
178,t07_kp20_x,0.00099103
179,t05_kp22_x,0.00099054
180,t27_kp19_x,0.00097977
181,t11_kp22_x,0.00097484
182,t17_kp21_y,0.00097459
183,t13_kp32_x,0.00097088
184,t06_kp18_x,0.00097055
185,t25_kp30_y,0.00096947
186,t12_kp15_x,0.00096786
187,t21_kp29_x,0.00095547
188,t28_kp29_x,0.00095391
189,t15_kp19_y,0.00095173
190,t18_kp19_y,0.00093978
191,t15_kp20_x,0.00093021
192,t19_kp20_x,0.00092813
193,t13_kp11_y,0.00092625
194,t29_kp19_x,0.00091909
195,t20_kp29_y,0.00091529
196,t14_kp20_x,0.00091246
197,t10_kp21_y,0.00090565
198,t27_kp24_y,0.00090225
199,t15_kp18_x,0.00089739
200,t08_kp12_x,0.00088548
201,t07_kp11_x,0.00088537
202,t04_kp08_x,0.00088289
203,t01_kp11_x,0.00088276
204,t29_kp08_y,0.00087759
205,t24_kp15_x,0.00087378
206,t10_kp08_x,0.00087371
207,t19_kp17_y,0.00086911
208,t23_kp27_y,0.00086756
209,t02_kp17_x,0.00086273
210,t09_kp20_x,0.00085770
211,t05_kp16_x,0.00085394
212,t08_kp15_x,0.00085371
213,t29_kp04_y,0.00085367
214,t09_kp17_x,0.00085275
215,t29_kp06_y,0.00084686
216,t14_kp19_y,0.00084531
217,t09_kp19_x,0.00083563
218,t11_kp17_x,0.00083386
219,t26_kp23_y,0.00083168
220,t14_kp11_x,0.00082900
221,t13_kp08_x,0.00082050
222,t15_kp11_x,0.00081718
223,t11_kp07_x,0.00081484
224,t14_kp31_x,0.00081097
225,t13_kp12_x,0.00080984
226,t00_kp19_x,0.00080780
227,t26_kp01_y,0.00080638
228,t20_kp08_y,0.00080605
229,t09_kp15_x,0.00079934
230,t22_kp27_y,0.00079535
231,t13_kp20_x,0.00079300
232,t09_kp13_x,0.00078773
233,t20_kp17_y,0.00078759
234,t06_kp13_x,0.00078713
235,t13_kp31_x,0.00078696
236,t15_kp12_x,0.00078078
237,t21_kp15_y,0.00077476
238,t07_kp15_x,0.00077317
239,t12_kp21_x,0.00077221
240,t22_kp24_y,0.00077205
241,t03_kp21_x,0.00076802
242,t23_kp19_x,0.00076685
243,t05_kp21_x,0.00076575
244,t14_kp17_y,0.00075914
245,t20_kp15_y,0.00075509
246,t23_kp17_x,0.00075437
247,t24_kp19_x,0.00075073
248,t16_kp19_y,0.00075023
249,t13_kp11_x,0.00074885
250,t10_kp18_x,0.00074002
251,t20_kp02_y,0.00073632
252,t09_kp18_x,0.00073563
253,t16_kp22_x,0.00072867
254,t19_kp21_y,0.00072322
255,t13_kp13_y,0.00072244
256,t29_kp05_y,0.00071223
257,t29_kp01_y,0.00070935
258,t28_kp32_y,0.00070589
259,t28_kp07_y,0.00070368
260,t16_kp17_y,0.00070280
261,t15_kp22_x,0.00070163
262,t28_kp31_x,0.00069973
263,t24_kp25_x,0.00069674
264,t13_kp21_y,0.00068851
265,t21_kp20_x,0.00068620
266,t13_kp18_x,0.00068452
267,t26_kp25_x,0.00067835
268,t15_kp15_y,0.00067684
269,t26_kp17_x,0.00067416
270,t15_kp31_x,0.00066918
271,t28_kp02_y,0.00066782
272,t21_kp12_y,0.00066141
273,t20_kp17_x,0.00065345
274,t27_kp17_x,0.00064499
275,t20_kp21_y,0.00064442
276,t03_kp22_x,0.00064431
277,t10_kp11_y,0.00064408
278,t11_kp19_y,0.00064277
279,t14_kp22_x,0.00064068
280,t27_kp20_x,0.00063763
281,t24_kp31_x,0.00063755
282,t17_kp31_x,0.00063754
283,t13_kp15_y,0.00063264
284,t25_kp02_y,0.00063077
285,t01_kp02_y,0.00062824
286,t05_kp20_x,0.00062512
287,t28_kp23_y,0.00062362
288,t12_kp21_y,0.00062121
289,t26_kp07_y,0.00062021
290,t22_kp15_y,0.00061843
291,t25_kp28_y,0.00061547
292,t15_kp21_y,0.00060835
293,t27_kp05_y,0.00060719
