rank,feature,importance
1,t21_kp32_x,0.01868985
2,t24_kp30_x,0.01681868
3,t24_kp32_x,0.01603231
4,t23_kp30_x,0.01429492
5,t19_kp30_x,0.01316049
6,t22_kp30_x,0.01273464
7,t17_kp30_x,0.01196628
8,t18_kp30_x,0.01193151
9,t23_kp32_x,0.01101360
10,t28_kp32_x,0.01097829
11,t15_kp30_x,0.01084508
12,t20_kp30_x,0.01068520
13,t09_kp30_x,0.00959826
14,t16_kp30_x,0.00956634
15,t21_kp30_x,0.00930782
16,t28_kp30_x,0.00852042
17,t14_kp30_x,0.00811856
18,t25_kp32_x,0.00752196
19,t13_kp30_x,0.00747910
20,t22_kp32_x,0.00742985
21,t19_kp28_x,0.00729350
22,t26_kp32_x,0.00696492
23,t12_kp30_x,0.00636193
24,t27_kp30_x,0.00631562
25,t20_kp32_x,0.00596557
26,t15_kp32_x,0.00586066
27,t20_kp28_x,0.00579261
28,t25_kp30_x,0.00560151
29,t27_kp32_x,0.00559465
30,t29_kp30_x,0.00556238
31,t18_kp28_x,0.00499691
32,t18_kp32_x,0.00494420
33,t22_kp28_x,0.00485978
34,t24_kp13_x,0.00484365
35,t11_kp30_x,0.00459262
36,t26_kp30_x,0.00433339
37,t17_kp32_x,0.00426138
38,t21_kp28_x,0.00407420
39,t10_kp30_x,0.00365113
40,t28_kp29_x,0.00362237
41,t16_kp32_x,0.00357656
42,t27_kp29_x,0.00344294
43,t17_kp28_x,0.00341068
44,t29_kp32_x,0.00337117
45,t26_kp27_y,0.00336842
46,t27_kp27_y,0.00334817
47,t27_kp13_x,0.00330909
48,t25_kp29_x,0.00329330
49,t24_kp28_x,0.00327295
50,t19_kp32_x,0.00327188
51,t15_kp13_x,0.00326398
52,t12_kp13_x,0.00321595
53,t16_kp28_x,0.00320939
54,t17_kp13_x,0.00319423
55,t14_kp13_x,0.00316323
56,t10_kp21_x,0.00313626
57,t29_kp27_y,0.00303507
58,t29_kp13_x,0.00263276
59,t28_kp13_x,0.00262994
60,t26_kp13_x,0.00253324
61,t28_kp27_y,0.00252753
62,t23_kp13_x,0.00251867
63,t21_kp13_x,0.00250753
64,t18_kp13_x,0.00250419
65,t23_kp29_x,0.00249726
66,t23_kp28_x,0.00247060
67,t10_kp13_x,0.00246526
68,t17_kp11_y,0.00246164
69,t24_kp27_y,0.00245235
70,t07_kp21_x,0.00241529
71,t22_kp29_x,0.00236852
72,t11_kp11_x,0.00234907
73,t21_kp11_y,0.00231098
74,t08_kp30_x,0.00226826
75,t06_kp11_x,0.00224841
76,t20_kp02_y,0.00218722
77,t20_kp07_y,0.00200835
78,t06_kp30_x,0.00200211
79,t29_kp25_y,0.00197468
80,t18_kp11_y,0.00190025
81,t06_kp22_x,0.00188389
82,t08_kp18_x,0.00186527
83,t26_kp28_x,0.00184257
84,t24_kp29_x,0.00183850
85,t10_kp11_x,0.00181600
86,t16_kp13_x,0.00181491
87,t15_kp11_y,0.00181024
88,t08_kp16_x,0.00180119
89,t27_kp28_x,0.00179063
90,t13_kp11_y,0.00178955
91,t13_kp13_x,0.00172723
92,t19_kp11_y,0.00172287
93,t08_kp17_x,0.00171088
94,t11_kp13_x,0.00166904
95,t19_kp13_x,0.00165899
96,t14_kp11_y,0.00165191
97,t20_kp11_y,0.00164727
98,t09_kp17_x,0.00162302
99,t23_kp11_y,0.00161163
100,t05_kp16_x,0.00159650
101,t15_kp13_y,0.00159529
102,t16_kp11_y,0.00158816
103,t08_kp11_x,0.00157437
104,t09_kp22_x,0.00155982
105,t10_kp15_x,0.00154741
106,t02_kp17_x,0.00154420
107,t11_kp19_x,0.00153428
108,t25_kp25_y,0.00152971
109,t01_kp17_x,0.00152353
110,t18_kp07_y,0.00146448
111,t06_kp18_x,0.00145746
112,t09_kp14_x,0.00144300
113,t10_kp16_x,0.00142852
114,t28_kp25_y,0.00141448
115,t13_kp13_y,0.00139298
116,t20_kp06_y,0.00138661
117,t07_kp18_x,0.00135298
118,t27_kp25_y,0.00133083
119,t20_kp04_y,0.00132380
120,t25_kp27_y,0.00131075
121,t05_kp14_x,0.00130686
122,t12_kp11_y,0.00128628
123,t26_kp25_y,0.00128374
124,t22_kp25_y,0.00127619
125,t03_kp14_x,0.00126729
126,t19_kp10_y,0.00126478
127,t04_kp14_x,0.00126319
128,t06_kp14_x,0.00125388
129,t05_kp18_x,0.00125086
130,t19_kp03_y,0.00123400
131,t02_kp20_x,0.00122943
132,t03_kp22_x,0.00121775
133,t29_kp28_x,0.00119932
134,t01_kp16_x,0.00118458
135,t14_kp09_y,0.00117373
136,t20_kp13_y,0.00116471
137,t09_kp20_x,0.00116448
138,t08_kp14_x,0.00115867
139,t19_kp00_y,0.00115748
140,t14_kp13_y,0.00115213
141,t18_kp09_y,0.00115174
142,t22_kp27_y,0.00114159
143,t02_kp14_y,0.00113875
144,t10_kp31_x,0.00113660
145,t29_kp29_x,0.00112692
146,t25_kp31_x,0.00111829
147,t20_kp10_y,0.00110519
148,t14_kp32_x,0.00109791
149,t06_kp16_x,0.00108516
150,t16_kp13_y,0.00108382
151,t08_kp12_x,0.00107938
152,t08_kp21_x,0.00106153
153,t18_kp02_y,0.00106036
