epoch,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_tn,val_fp,val_fn,val_tp,learning_rate
1,0.11813986571080341,0.969351053237915,0.9749652294853964,0.9763779527559056,0.7898089171974523,0.8732394366197183,0.9684064499768791,1278,3,33,124,0.001
2,0.04277238351173525,0.9550455212593079,0.9652294853963839,0.8962962962962963,0.7707006369426752,0.8287671232876712,0.964508221582462,1267,14,36,121,0.001
3,0.02491841968223765,0.11720406264066696,0.9735744089012517,0.8789808917197452,0.8789808917197452,0.8789808917197452,0.9766205740936867,1262,19,19,138,0.001
4,0.018362477509102547,0.9921566247940063,0.8949930458970793,0.5137614678899083,0.7133757961783439,0.5973333333333334,0.9544394556402491,1175,106,45,112,0.001
5,0.0293956187828091,0.5934701561927795,0.8699582753824756,0.44047619047619047,0.7070063694267515,0.5427872860635696,0.9245961306105401,1140,141,46,111,0.001
6,0.03255858436734957,0.0015613336581736803,0.978442280945758,0.89375,0.910828025477707,0.9022082018927445,0.9672976426657119,1264,17,14,143,0.001
7,0.019732540198914066,0.0022593762259930372,0.9742698191933241,0.8896103896103896,0.8726114649681529,0.8810289389067524,0.9810408866480704,1264,17,20,137,0.001
8,0.02642434796475184,0.0005476267542690039,0.9694019471488178,0.900709219858156,0.8089171974522293,0.8523489932885906,0.9664995997354773,1267,14,30,127,0.001
9,0.017373606816915896,0.008172821253538132,0.8734353268428373,0.4564459930313589,0.8343949044585988,0.5900900900900901,0.9146118925799411,1125,156,26,131,0.001
10,0.015390080882682749,0.9956498742103577,0.9457579972183588,0.7393939393939394,0.7770700636942676,0.7577639751552795,0.9552822486413381,1238,43,35,122,0.001
11,0.01915525774551017,0.20958133041858673,0.9895688456189151,0.9671052631578947,0.9363057324840764,0.9514563106796117,0.9956244375164706,1276,5,10,147,0.001
12,0.02723356898775805,0.0015960033051669598,0.972183588317107,0.8979591836734694,0.8407643312101911,0.868421052631579,0.9365394272985377,1266,15,25,132,0.001
13,0.01734525140421579,0.0020872310269623995,0.89221140472879,0.5045871559633027,0.7006369426751592,0.5866666666666667,0.9322856844523337,1173,108,47,110,0.001
14,0.02810729188927146,0.003855414455756545,0.9666203059805285,0.8865248226950354,0.7961783439490446,0.8389261744966443,0.9675039902146513,1265,16,32,125,0.001
15,0.028823615942263233,0.0005411652382463217,0.8386648122392212,0.39255014326647564,0.8726114649681529,0.541501976284585,0.9211454029246657,1069,212,20,137,0.001
16,0.012722557709138245,0.008196545764803886,0.9791376912378303,0.9205298013245033,0.8853503184713376,0.9025974025974026,0.9714842604056345,1269,12,18,139,0.0005
17,0.009273131850528181,0.0010478532640263438,0.8595271210013908,0.42946708463949845,0.8726114649681529,0.5756302521008403,0.9200167066931189,1099,182,20,137,0.0005
18,0.009229446342776077,0.006572326645255089,0.9714881780250347,0.8452380952380952,0.9044585987261147,0.8738461538461538,0.9808917197452229,1255,26,15,142,0.0005
19,0.005501092142895876,0.14710457623004913,0.9867872044506258,0.9662162162162162,0.910828025477707,0.9377049180327869,0.9912090971921816,1276,5,14,143,0.0005
20,0.008263889023863524,0.07526678591966629,0.954798331015299,0.859375,0.7006369426751592,0.7719298245614035,0.9555209156858943,1263,18,47,110,0.0005
21,0.009170841959600232,0.1682106852531433,0.978442280945758,0.9038461538461539,0.8980891719745223,0.9009584664536742,0.9842678639796736,1266,15,16,141,0.00025
22,0.005702238745213191,0.10097192972898483,0.978442280945758,0.9090909090909091,0.89171974522293,0.9003215434083601,0.9801259963106053,1267,14,17,140,0.00025
23,0.005257908695353338,0.0522068552672863,0.978442280945758,0.9090909090909091,0.89171974522293,0.9003215434083601,0.9810558033383552,1267,14,17,140,0.00025
