rank,feature,importance
1,t42_kp18_y,0.01667608
2,t43_kp16_y,0.01483116
3,t40_kp20_y,0.01428618
4,t40_kp16_y,0.01402312
5,t42_kp20_y,0.01272503
6,t42_kp13_y,0.01246135
7,t43_kp20_y,0.01183048
8,t44_kp16_y,0.01182519
9,t41_kp22_y,0.01132020
10,t41_kp18_y,0.01122811
11,t44_kp11_y,0.00996956
12,t38_kp15_y,0.00981234
13,t40_kp13_y,0.00948724
14,t43_kp13_y,0.00885922
15,t43_kp11_y,0.00853533
16,t44_kp22_y,0.00845816
17,t44_kp23_y,0.00830461
18,t42_kp22_y,0.00807447
19,t41_kp16_y,0.00775528
20,t41_kp13_y,0.00772796
21,t38_kp19_y,0.00750728
22,t38_kp17_y,0.00749155
23,t39_kp16_y,0.00730039
24,t37_kp19_y,0.00724338
25,t44_kp20_y,0.00704410
26,t37_kp21_y,0.00650512
27,t44_kp18_y,0.00642198
28,t41_kp11_y,0.00641394
29,t41_kp20_y,0.00628482
30,t38_kp13_y,0.00620413
31,t37_kp13_y,0.00613672
32,t43_kp23_y,0.00612165
33,t40_kp17_y,0.00612161
34,t41_kp15_y,0.00609364
35,t42_kp12_y,0.00602922
36,t36_kp21_y,0.00589270
37,t38_kp21_y,0.00586876
38,t39_kp18_y,0.00581306
39,t44_kp12_y,0.00548285
40,t43_kp18_y,0.00527344
41,t37_kp16_y,0.00514023
42,t42_kp23_y,0.00500718
43,t40_kp18_y,0.00491838
44,t40_kp22_y,0.00489994
45,t43_kp24_y,0.00480176
46,t36_kp22_y,0.00469538
47,t39_kp22_y,0.00456027
48,t01_kp03_y,0.00450918
49,t02_kp02_y,0.00447144
50,t44_kp15_y,0.00430847
51,t02_kp05_y,0.00428452
52,t42_kp11_y,0.00416321
53,t40_kp02_y,0.00413252
54,t01_kp00_y,0.00411520
55,t37_kp15_y,0.00405829
56,t36_kp15_y,0.00383477
57,t39_kp21_y,0.00378741
58,t00_kp05_y,0.00377665
59,t37_kp22_y,0.00367796
60,t39_kp15_y,0.00363263
61,t02_kp07_y,0.00363128
62,t40_kp21_y,0.00359864
63,t36_kp19_y,0.00359589
64,t41_kp03_y,0.00351976
65,t38_kp23_y,0.00348480
66,t39_kp20_y,0.00346506
67,t40_kp15_y,0.00345222
68,t43_kp07_y,0.00343706
69,t36_kp13_y,0.00337342
70,t35_kp16_y,0.00331144
71,t38_kp18_y,0.00330286
72,t42_kp00_y,0.00327384
73,t42_kp24_y,0.00319702
74,t40_kp09_y,0.00319492
75,t42_kp15_y,0.00316467
76,t06_kp01_y,0.00315147
77,t00_kp12_y,0.00313513
78,t43_kp15_y,0.00305632
79,t43_kp21_y,0.00302414
80,t01_kp09_y,0.00295784
81,t42_kp19_y,0.00291565
82,t03_kp12_y,0.00290844
83,t00_kp10_y,0.00288558
84,t02_kp03_y,0.00286853
85,t00_kp01_y,0.00285566
86,t44_kp24_y,0.00280630
87,t42_kp16_y,0.00279739
88,t42_kp17_y,0.00279559
89,t44_kp13_y,0.00271944
90,t39_kp13_y,0.00271357
91,t04_kp04_y,0.00270781
92,t43_kp05_y,0.00270045
93,t03_kp04_y,0.00269537
94,t42_kp07_y,0.00266812
95,t03_kp08_y,0.00260042
96,t04_kp06_y,0.00259539
97,t35_kp19_y,0.00259428
98,t01_kp10_y,0.00259341
99,t00_kp04_y,0.00256607
100,t02_kp10_y,0.00256121
101,t37_kp17_y,0.00253691
102,t05_kp03_y,0.00251115
103,t39_kp19_y,0.00250126
104,t06_kp05_y,0.00249430
105,t38_kp20_y,0.00247826
106,t43_kp06_y,0.00244909
107,t00_kp07_y,0.00244428
108,t38_kp16_y,0.00243743
109,t41_kp09_y,0.00242869
110,t05_kp07_y,0.00241843
111,t41_kp06_y,0.00238250
112,t38_kp22_y,0.00236715
113,t42_kp04_y,0.00236039
114,t43_kp01_y,0.00230279
115,t02_kp12_y,0.00229724
116,t39_kp23_y,0.00228618
117,t41_kp10_y,0.00227205
118,t06_kp03_y,0.00227175
119,t43_kp19_y,0.00223184
120,t41_kp04_y,0.00223044
121,t36_kp20_y,0.00222830
122,t42_kp10_y,0.00220740
123,t41_kp17_y,0.00220340
124,t40_kp03_y,0.00219459
125,t41_kp07_y,0.00219417
126,t06_kp07_y,0.00217774
127,t12_kp08_y,0.00216168
128,t40_kp19_y,0.00215270
129,t34_kp13_y,0.00214446
130,t03_kp06_y,0.00212744
131,t39_kp17_y,0.00208555
132,t37_kp09_y,0.00207618
133,t44_kp05_y,0.00206755
134,t00_kp06_y,0.00206087
135,t35_kp18_y,0.00203845
136,t39_kp01_y,0.00203305
137,t43_kp22_y,0.00201413
138,t02_kp04_y,0.00200122
139,t04_kp12_y,0.00198131
140,t11_kp06_y,0.00195705
141,t00_kp09_y,0.00195267
142,t01_kp12_y,0.00194534
143,t00_kp03_y,0.00194367
144,t06_kp12_y,0.00192907
145,t06_kp00_y,0.00191635
146,t01_kp07_y,0.00188722
147,t01_kp11_y,0.00184936
148,t06_kp04_y,0.00179849
149,t00_kp02_y,0.00179693
150,t05_kp04_y,0.00179002
151,t01_kp02_y,0.00171055
152,t01_kp06_y,0.00164719
153,t41_kp21_y,0.00163311
154,t43_kp12_y,0.00162478
155,t43_kp17_y,0.00159539
156,t05_kp06_y,0.00159247
157,t44_kp21_x,0.00158146
158,t02_kp01_y,0.00157875
159,t06_kp10_y,0.00154005
160,t40_kp21_x,0.00153297
161,t44_kp17_y,0.00152880
162,t42_kp09_y,0.00152473
163,t07_kp09_y,0.00151032
164,t03_kp05_y,0.00151028
165,t07_kp04_y,0.00151009
166,t09_kp12_y,0.00150896
167,t44_kp19_y,0.00148582
168,t00_kp08_y,0.00148377
169,t43_kp02_y,0.00147788
170,t06_kp06_y,0.00147755
171,t42_kp21_x,0.00147737
172,t43_kp01_x,0.00147302
173,t06_kp20_y,0.00146056
174,t01_kp08_y,0.00145567
175,t04_kp10_y,0.00145431
176,t39_kp20_x,0.00144954
177,t00_kp00_y,0.00143091
178,t07_kp02_y,0.00142941
179,t01_kp05_y,0.00142570
180,t41_kp12_y,0.00142320
181,t03_kp02_y,0.00141609
182,t08_kp08_y,0.00140172
183,t08_kp20_y,0.00138270
184,t43_kp03_y,0.00137521
185,t05_kp08_y,0.00135686
186,t04_kp08_y,0.00133174
187,t04_kp22_y,0.00132499
188,t05_kp10_y,0.00131391
189,t43_kp09_y,0.00129193
190,t43_kp06_x,0.00128647
191,t40_kp10_y,0.00125294
192,t40_kp11_y,0.00124130
193,t44_kp07_y,0.00123133
194,t41_kp19_y,0.00122936
195,t38_kp11_y,0.00121986
196,t34_kp19_y,0.00121776
197,t36_kp09_y,0.00121229
198,t38_kp22_x,0.00120270
199,t36_kp17_y,0.00119306
200,t35_kp15_y,0.00119105
201,t42_kp05_y,0.00118983
202,t42_kp01_y,0.00118270
203,t34_kp22_y,0.00117796
204,t38_kp08_y,0.00117598
205,t41_kp24_y,0.00117316
206,t09_kp03_y,0.00117158
207,t41_kp17_x,0.00116937
208,t36_kp12_y,0.00116402
209,t35_kp22_y,0.00115589
210,t44_kp03_y,0.00115188
211,t39_kp03_y,0.00114706
212,t44_kp00_y,0.00114076
213,t34_kp21_y,0.00113831
214,t11_kp24_y,0.00113465
215,t40_kp12_y,0.00112347
216,t43_kp08_y,0.00112245
217,t35_kp09_y,0.00111732
218,t34_kp16_y,0.00111306
219,t33_kp19_y,0.00110880
220,t33_kp15_y,0.00110864
221,t33_kp19_x,0.00109835
222,t43_kp00_y,0.00109632
223,t33_kp13_y,0.00109451
224,t37_kp20_y,0.00109410
225,t35_kp17_y,0.00108806
226,t13_kp08_y,0.00108449
227,t44_kp09_y,0.00106978
228,t33_kp17_y,0.00106865
229,t41_kp05_y,0.00106832
230,t40_kp06_y,0.00106805
231,t38_kp12_y,0.00106661
232,t41_kp00_y,0.00105933
233,t44_kp10_y,0.00105341
234,t32_kp17_y,0.00105212
235,t31_kp21_y,0.00105183
236,t33_kp20_y,0.00104101
237,t09_kp24_y,0.00102810
238,t32_kp19_y,0.00101866
239,t04_kp09_y,0.00101859
240,t05_kp09_y,0.00100689
241,t15_kp14_y,0.00100400
242,t05_kp12_y,0.00100365
243,t35_kp13_y,0.00100001
244,t03_kp07_y,0.00099519
245,t10_kp07_y,0.00099458
246,t04_kp07_y,0.00098844
247,t11_kp12_y,0.00098558
248,t31_kp19_y,0.00098294
249,t03_kp00_y,0.00097680
250,t02_kp09_y,0.00097460
251,t35_kp10_y,0.00097037
252,t32_kp13_y,0.00096867
253,t38_kp00_y,0.00096407
254,t31_kp17_y,0.00096060
255,t26_kp25_y,0.00095679
256,t06_kp02_y,0.00095404
257,t44_kp11_x,0.00095389
