rank,feature,importance
1,t22_kp11_y,0.02261648
2,t24_kp11_y,0.01742074
3,t27_kp09_y,0.01741121
4,t23_kp11_y,0.01624606
5,t21_kp11_y,0.01506279
6,t28_kp09_y,0.01494942
7,t24_kp00_y,0.01465406
8,t24_kp09_y,0.01364267
9,t24_kp10_y,0.01347446
10,t26_kp11_y,0.01251535
11,t26_kp09_y,0.01243279
12,t23_kp10_y,0.01231759
13,t20_kp11_y,0.01135243
14,t25_kp09_y,0.00992088
15,t27_kp07_y,0.00986007
16,t29_kp08_y,0.00983023
17,t26_kp07_y,0.00983003
18,t23_kp00_y,0.00979776
19,t28_kp00_y,0.00979620
20,t25_kp11_y,0.00882526
21,t22_kp09_y,0.00863959
22,t29_kp07_y,0.00859743
23,t25_kp10_y,0.00856404
24,t27_kp11_y,0.00760285
25,t29_kp10_y,0.00749243
26,t28_kp11_y,0.00738594
27,t27_kp10_y,0.00737325
28,t20_kp09_y,0.00735809
29,t23_kp09_y,0.00630379
30,t25_kp01_y,0.00616115
31,t22_kp00_y,0.00614247
32,t26_kp08_y,0.00613153
33,t26_kp00_y,0.00613071
34,t26_kp10_y,0.00612479
35,t25_kp07_y,0.00611426
36,t24_kp07_y,0.00611121
37,t28_kp07_y,0.00608862
38,t26_kp02_y,0.00605857
39,t27_kp03_y,0.00605010
40,t23_kp03_y,0.00603377
41,t26_kp03_y,0.00601367
42,t26_kp04_y,0.00599188
43,t21_kp07_y,0.00508645
44,t29_kp11_y,0.00504315
45,t28_kp10_y,0.00495964
46,t23_kp07_y,0.00492269
47,t29_kp06_y,0.00491519
48,t27_kp00_y,0.00491451
49,t28_kp08_y,0.00490797
50,t25_kp00_y,0.00490550
51,t24_kp01_y,0.00490299
52,t29_kp05_y,0.00489036
53,t26_kp05_y,0.00487537
54,t22_kp01_y,0.00485069
55,t24_kp02_y,0.00378732
56,t29_kp09_y,0.00375712
57,t24_kp10_x,0.00374552
58,t21_kp10_y,0.00373375
59,t29_kp00_y,0.00372219
60,t22_kp10_y,0.00368020
61,t24_kp12_y,0.00367104
62,t25_kp02_y,0.00366624
63,t27_kp01_y,0.00366540
64,t26_kp01_y,0.00365877
65,t22_kp07_y,0.00365396
66,t25_kp03_y,0.00365189
67,t29_kp09_x,0.00364696
68,t23_kp10_x,0.00347957
69,t28_kp09_x,0.00341408
70,t28_kp07_x,0.00322739
71,t27_kp10_x,0.00311643
72,t24_kp23_y,0.00299602
73,t22_kp10_x,0.00291595
74,t29_kp08_x,0.00291432
75,t21_kp09_x,0.00285771
