rank,feature,importance
1,t13_kp25_y,0.03863606
2,t14_kp26_y,0.03211172
3,t15_kp10_y,0.02642157
4,t14_kp09_y,0.02388729
5,t13_kp08_y,0.02135101
6,t13_kp19_y,0.01892767
7,t11_kp22_y,0.01803617
8,t12_kp17_y,0.01644677
9,t12_kp07_y,0.01624125
10,t12_kp24_y,0.01570667
11,t12_kp06_y,0.01557948
12,t14_kp25_y,0.01530894
13,t14_kp20_y,0.01529287
14,t14_kp08_y,0.01526033
15,t13_kp01_y,0.01524598
16,t12_kp00_y,0.01489226
17,t13_kp24_y,0.01258642
18,t14_kp19_y,0.01258593
19,t12_kp23_y,0.01177352
20,t14_kp03_y,0.01156250
21,t11_kp23_y,0.01146349
22,t13_kp17_y,0.01059135
23,t12_kp13_y,0.01049456
24,t14_kp02_y,0.01005772
25,t11_kp05_y,0.00984845
26,t11_kp16_y,0.00970914
27,t15_kp03_y,0.00969352
28,t13_kp00_y,0.00925610
29,t15_kp02_y,0.00826570
30,t15_kp09_y,0.00820292
31,t13_kp07_y,0.00776707
32,t13_kp15_y,0.00770195
33,t11_kp32_y,0.00769173
34,t15_kp04_y,0.00718104
35,t14_kp18_y,0.00673399
36,t10_kp32_y,0.00667275
37,t12_kp02_y,0.00666143
38,t14_kp01_y,0.00663221
39,t11_kp01_y,0.00659313
40,t13_kp18_y,0.00583075
41,t14_kp19_x,0.00548351
42,t11_kp29_y,0.00529965
43,t12_kp30_y,0.00528365
44,t12_kp01_y,0.00528028
45,t11_kp18_y,0.00526144
46,t15_kp03_x,0.00525119
47,t12_kp16_y,0.00522861
48,t11_kp31_y,0.00520091
49,t14_kp04_x,0.00469403
50,t13_kp03_x,0.00447407
51,t12_kp19_x,0.00442046
52,t10_kp00_y,0.00413544
53,t09_kp31_y,0.00411921
54,t14_kp17_y,0.00411562
55,t13_kp03_y,0.00410139
56,t11_kp12_y,0.00408366
57,t12_kp19_y,0.00408224
58,t14_kp21_x,0.00407780
59,t10_kp15_y,0.00400084
60,t11_kp14_y,0.00398764
61,t14_kp00_y,0.00398386
62,t13_kp31_y,0.00395257
63,t11_kp13_y,0.00395171
64,t12_kp32_y,0.00392743
65,t10_kp28_y,0.00391386
66,t11_kp11_y,0.00389804
67,t12_kp18_y,0.00388779
68,t08_kp15_y,0.00386906
69,t13_kp32_y,0.00381297
70,t13_kp12_x,0.00371482
71,t13_kp01_x,0.00339297
72,t13_kp20_x,0.00337141
73,t11_kp16_x,0.00336540
74,t12_kp17_x,0.00327549
75,t15_kp05_x,0.00314185
76,t06_kp22_x,0.00309255
77,t11_kp06_y,0.00307434
78,t09_kp25_x,0.00299741
79,t13_kp20_y,0.00294778
80,t14_kp13_x,0.00292778
81,t12_kp00_x,0.00285783
82,t13_kp02_y,0.00283940
83,t15_kp07_x,0.00280223
84,t14_kp02_x,0.00270381
85,t09_kp32_y,0.00269284
86,t08_kp32_y,0.00268465
87,t06_kp05_x,0.00265971
88,t12_kp28_x,0.00265919
89,t10_kp32_x,0.00265589
90,t10_kp11_y,0.00264837
91,t07_kp23_x,0.00263758
92,t10_kp13_y,0.00263362
93,t12_kp14_y,0.00262489
94,t09_kp27_y,0.00261878
95,t11_kp28_y,0.00258887
96,t07_kp31_y,0.00257687
97,t09_kp26_y,0.00256513
98,t11_kp30_y,0.00256323
99,t11_kp15_y,0.00255630
100,t10_kp29_y,0.00254165
101,t14_kp30_x,0.00253782
102,t12_kp02_x,0.00247274
103,t07_kp06_x,0.00246860
104,t11_kp27_x,0.00241968
105,t13_kp18_x,0.00241698
106,t05_kp04_x,0.00241276
107,t11_kp10_x,0.00241102
108,t10_kp15_x,0.00236302
109,t13_kp28_x,0.00223413
110,t10_kp25_x,0.00222572
111,t05_kp20_x,0.00219537
112,t14_kp29_x,0.00213491
113,t13_kp29_x,0.00213250
114,t07_kp22_x,0.00213197
115,t08_kp07_x,0.00207807
116,t15_kp14_x,0.00206925
117,t08_kp23_x,0.00202996
118,t10_kp17_x,0.00198095
119,t08_kp06_x,0.00197453
120,t11_kp26_x,0.00195981
121,t11_kp18_x,0.00194267
122,t07_kp05_x,0.00193127
123,t13_kp22_x,0.00192952
124,t14_kp23_x,0.00184343
125,t10_kp00_x,0.00182300
126,t10_kp21_y,0.00179325
127,t06_kp21_x,0.00173131
128,t10_kp09_x,0.00168331
129,t04_kp02_x,0.00165107
130,t14_kp12_x,0.00163829
131,t12_kp04_x,0.00162590
132,t09_kp24_x,0.00162334
133,t04_kp20_x,0.00160324
134,t12_kp11_x,0.00160093
135,t08_kp32_x,0.00159993
136,t12_kp10_x,0.00157378
137,t05_kp03_x,0.00147937
138,t09_kp16_y,0.00147683
139,t14_kp06_x,0.00145917
140,t08_kp24_x,0.00145619
141,t11_kp17_y,0.00145028
142,t10_kp17_y,0.00143683
143,t04_kp03_x,0.00143676
144,t13_kp14_y,0.00142891
145,t13_kp16_y,0.00142695
146,t11_kp20_x,0.00140138
147,t10_kp16_y,0.00137920
148,t09_kp28_y,0.00137056
149,t10_kp31_y,0.00136684
150,t12_kp15_y,0.00136598
151,t01_kp00_x,0.00136396
152,t02_kp18_x,0.00135907
153,t10_kp14_y,0.00135519
154,t09_kp31_x,0.00134467
155,t12_kp20_y,0.00133794
156,t09_kp08_x,0.00133667
157,t13_kp11_x,0.00132795
158,t10_kp30_y,0.00132167
159,t11_kp21_y,0.00130716
160,t12_kp29_y,0.00130685
161,t05_kp21_x,0.00130252
162,t13_kp13_y,0.00129968
163,t09_kp16_x,0.00129193
164,t12_kp12_y,0.00128769
165,t09_kp15_y,0.00127013
166,t15_kp06_y,0.00126616
167,t11_kp09_x,0.00125695
168,t11_kp02_y,0.00123593
169,t08_kp26_y,0.00123178
170,t09_kp17_y,0.00122954
171,t08_kp25_y,0.00122813
172,t11_kp19_y,0.00122205
173,t09_kp21_y,0.00121573
174,t10_kp08_x,0.00117040
175,t00_kp31_x,0.00115295
176,t05_kp31_y,0.00114688
177,t07_kp18_y,0.00114485
178,t01_kp14_x,0.00114048
179,t03_kp19_x,0.00113984
180,t10_kp19_x,0.00110598
181,t02_kp17_x,0.00110558
182,t12_kp18_x,0.00110292
183,t08_kp15_x,0.00107397
184,t01_kp31_x,0.00107025
185,t00_kp30_x,0.00106671
186,t01_kp17_x,0.00105716
187,t03_kp22_x,0.00103976
188,t09_kp07_x,0.00103413
189,t12_kp21_x,0.00103265
190,t07_kp20_x,0.00100897
191,t03_kp01_x,0.00098716
192,t10_kp26_x,0.00096718
193,t03_kp00_x,0.00095214
194,t01_kp32_x,0.00093556
195,t15_kp02_x,0.00092944
196,t00_kp13_x,0.00092847
197,t12_kp01_x,0.00089295
198,t02_kp01_x,0.00088269
199,t12_kp27_x,0.00084195
200,t06_kp04_x,0.00083807
201,t08_kp30_x,0.00083461
202,t00_kp19_x,0.00082619
203,t11_kp01_x,0.00081534
204,t09_kp15_x,0.00081499
205,t09_kp14_x,0.00079460
206,t11_kp22_x,0.00079393
207,t09_kp20_x,0.00078848
208,t07_kp11_x,0.00076987
209,t10_kp06_x,0.00076820
210,t03_kp05_x,0.00076117
211,t15_kp13_x,0.00075905
212,t09_kp13_x,0.00075446
213,t10_kp14_x,0.00075431
214,t01_kp20_x,0.00075117
215,t07_kp14_x,0.00073475
216,t09_kp01_x,0.00071790
217,t05_kp01_x,0.00070925
218,t00_kp16_x,0.00070824
219,t11_kp15_x,0.00069878
220,t01_kp15_x,0.00068011
221,t00_kp14_x,0.00067147
222,t12_kp25_x,0.00065714
223,t06_kp15_x,0.00064613
224,t15_kp11_x,0.00062927
225,t14_kp18_x,0.00062915
226,t07_kp31_x,0.00061771
227,t04_kp17_x,0.00061652
228,t03_kp18_x,0.00060706
229,t00_kp32_x,0.00059554
230,t06_kp27_x,0.00057893
231,t01_kp16_x,0.00057161
232,t13_kp05_x,0.00056188
233,t02_kp16_x,0.00056099
234,t03_kp24_x,0.00055671
235,t08_kp19_x,0.00054937
236,t11_kp03_x,0.00054119
237,t06_kp20_x,0.00053929
238,t08_kp13_x,0.00053780
239,t02_kp00_x,0.00053266
240,t13_kp26_x,0.00052689
241,t03_kp02_x,0.00052433
242,t05_kp09_x,0.00052102
243,t11_kp05_x,0.00051306
244,t15_kp07_y,0.00051277
245,t04_kp00_x,0.00051179
246,t03_kp07_x,0.00050895
247,t08_kp21_x,0.00050649
248,t00_kp28_y,0.00050254
249,t06_kp03_x,0.00050219
250,t07_kp29_x,0.00049164
251,t07_kp16_x,0.00049036
252,t04_kp19_x,0.00047931
253,t13_kp27_x,0.00047520
254,t11_kp24_x,0.00046665
255,t02_kp08_y,0.00045773
256,t09_kp03_x,0.00045545
257,t04_kp32_y,0.00044852
258,t07_kp00_x,0.00044777
259,t06_kp12_y,0.00044293
260,t14_kp23_y,0.00044204
261,t10_kp02_x,0.00044134
262,t09_kp02_x,0.00042622
263,t05_kp15_x,0.00042362
264,t04_kp18_x,0.00042153
265,t02_kp15_x,0.00041144
266,t14_kp28_x,0.00040680
267,t13_kp09_x,0.00040014
268,t09_kp05_x,0.00039831
269,t03_kp31_y,0.00039038
270,t03_kp14_y,0.00038465
271,t12_kp08_x,0.00037524
272,t10_kp04_y,0.00037127
273,t14_kp24_y,0.00036944
