epoch,train_loss,val_threshold,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_tn,val_fp,val_fn,val_tp,learning_rate
1,0.09114184056319528,0.7477397918701172,0.9898283534647171,0.9880952380952381,0.9222222222222223,0.9540229885057471,0.9991305735024328,1391,2,14,166,0.001
2,0.02533687805623606,0.8693387508392334,0.9898283534647171,0.9712643678160919,0.9388888888888889,0.9548022598870056,0.9990547977985164,1388,5,11,169,0.001
3,0.026901832459873615,0.6711363792419434,0.9764780673871583,0.903954802259887,0.8888888888888888,0.896358543417367,0.9946219191194066,1376,17,20,160,0.001
4,0.010411635681659561,0.997380793094635,0.9809281627463445,0.9032258064516129,0.9333333333333333,0.9180327868852459,0.9966379516630773,1375,18,12,168,0.001
5,0.017112973799232746,0.9916765689849854,0.9866497139224412,0.9760479041916168,0.9055555555555556,0.9394812680115274,0.9983548695860255,1389,4,17,163,0.001
6,0.011978041023277597,0.9992115497589111,0.9828353464717101,0.9580838323353293,0.8888888888888888,0.9221902017291066,0.9975113663555875,1386,7,20,160,0.0005
7,0.0034877718795021818,0.5850598216056824,0.9885568976478067,0.9655172413793104,0.9333333333333333,0.9491525423728814,0.9983429050011965,1387,6,12,168,0.0005
8,0.0030861080333087934,0.9519739747047424,0.9821996185632549,0.9086021505376344,0.9388888888888889,0.9234972677595629,0.997258115976709,1376,17,11,169,0.0005
9,0.0033737065774517355,0.9969679713249207,0.9809281627463445,0.907608695652174,0.9277777777777778,0.9175824175824175,0.9972321927095796,1376,17,13,167,0.0005
10,0.0018089335132278606,0.955467939376831,0.9866497139224412,0.9760479041916168,0.9055555555555556,0.9394812680115274,0.9975532424024887,1389,4,17,163,0.0005
11,0.0015659883436077526,0.9999915361404419,0.9764780673871583,0.9798657718120806,0.8111111111111111,0.8875379939209727,0.9961613623673925,1390,3,34,146,0.00025
12,0.0008845445904427134,0.9999949932098389,0.9758423394787031,0.9733333333333334,0.8111111111111111,0.8848484848484849,0.9958841828188563,1389,4,34,146,0.00025
13,0.0005938274969688787,0.9999895095825195,0.9777495232040686,0.9738562091503268,0.8277777777777777,0.8948948948948949,0.9960018345696737,1389,4,31,149,0.00025
14,0.0006858637604902766,0.9999969005584717,0.9752066115702479,0.9731543624161074,0.8055555555555556,0.8814589665653495,0.9953657174762702,1389,4,35,145,0.00025
