rank,feature,importance
1,t53_kp23_y,0.01363696
2,t59_kp07_y,0.01162705
3,t53_kp24_y,0.01124349
4,t56_kp23_y,0.01056509
5,t56_kp13_y,0.01023554
6,t49_kp13_y,0.00892588
7,t55_kp13_y,0.00884983
8,t50_kp16_y,0.00857208
9,t59_kp23_y,0.00797008
10,t48_kp13_y,0.00788408
11,t50_kp10_y,0.00782731
12,t56_kp09_y,0.00780209
13,t55_kp16_y,0.00770266
14,t53_kp13_y,0.00765324
15,t50_kp09_y,0.00754582
16,t47_kp07_y,0.00735734
17,t54_kp23_y,0.00708843
18,t54_kp24_y,0.00690556
19,t50_kp05_y,0.00663544
20,t50_kp07_y,0.00656988
21,t55_kp24_y,0.00644405
22,t52_kp24_y,0.00614118
23,t59_kp09_y,0.00603040
24,t50_kp11_y,0.00542513
25,t56_kp07_y,0.00539859
26,t41_kp15_y,0.00521488
27,t47_kp00_y,0.00510892
28,t51_kp16_y,0.00509978
29,t57_kp23_y,0.00506916
30,t52_kp23_y,0.00505687
31,t48_kp19_y,0.00503574
32,t59_kp11_y,0.00502640
33,t54_kp11_y,0.00499892
34,t41_kp19_y,0.00486092
35,t56_kp04_y,0.00483577
36,t54_kp09_y,0.00482847
37,t40_kp21_y,0.00479063
38,t50_kp02_y,0.00478379
39,t56_kp00_y,0.00475683
40,t42_kp21_y,0.00472179
41,t57_kp24_y,0.00453065
42,t47_kp13_y,0.00421629
43,t57_kp13_y,0.00419625
44,t47_kp09_y,0.00410679
45,t52_kp13_y,0.00404856
46,t50_kp20_y,0.00404489
47,t49_kp10_y,0.00404452
48,t54_kp00_y,0.00401168
49,t50_kp04_y,0.00398661
50,t46_kp13_y,0.00394613
51,t50_kp24_y,0.00390597
52,t50_kp06_y,0.00390448
53,t57_kp11_y,0.00388585
54,t20_kp00_y,0.00385085
55,t59_kp24_y,0.00384524
56,t59_kp01_y,0.00384229
57,t50_kp08_y,0.00383431
58,t58_kp11_y,0.00382753
59,t56_kp24_y,0.00382450
60,t45_kp13_y,0.00380204
61,t47_kp11_y,0.00378324
62,t52_kp16_y,0.00378257
63,t47_kp10_y,0.00375251
64,t53_kp11_y,0.00374891
65,t48_kp17_y,0.00374732
66,t54_kp10_y,0.00374511
67,t40_kp15_y,0.00374142
68,t51_kp11_y,0.00373685
69,t49_kp16_y,0.00372528
70,t49_kp21_y,0.00372329
71,t50_kp00_y,0.00368743
72,t57_kp16_y,0.00368075
73,t15_kp09_y,0.00365297
74,t45_kp17_y,0.00363678
75,t41_kp21_y,0.00362314
76,t56_kp03_y,0.00359926
77,t59_kp02_y,0.00357884
78,t56_kp16_y,0.00355958
79,t48_kp22_y,0.00351829
80,t10_kp03_y,0.00343003
81,t15_kp04_y,0.00338019
82,t16_kp07_y,0.00301803
83,t51_kp23_y,0.00287112
84,t12_kp07_y,0.00284272
85,t15_kp03_y,0.00281833
86,t16_kp04_y,0.00275183
87,t19_kp12_y,0.00274859
88,t50_kp13_y,0.00274575
89,t47_kp01_y,0.00274071
90,t46_kp21_y,0.00273211
91,t17_kp04_y,0.00272959
92,t17_kp06_y,0.00270713
93,t50_kp03_y,0.00269111
94,t42_kp17_y,0.00267902
95,t44_kp21_y,0.00263787
96,t59_kp13_y,0.00263564
97,t54_kp03_y,0.00263376
98,t45_kp16_y,0.00263332
99,t43_kp16_y,0.00263193
100,t14_kp01_y,0.00262739
101,t47_kp05_y,0.00259133
102,t13_kp11_y,0.00259075
103,t48_kp21_y,0.00258813
104,t51_kp18_y,0.00257800
105,t59_kp05_y,0.00256252
106,t48_kp10_y,0.00252137
107,t58_kp22_y,0.00251032
108,t44_kp19_y,0.00250996
109,t51_kp20_y,0.00249161
110,t48_kp04_y,0.00249094
111,t54_kp07_y,0.00248271
112,t45_kp15_y,0.00248261
113,t56_kp22_y,0.00248257
114,t48_kp05_y,0.00248144
115,t43_kp22_y,0.00244518
116,t51_kp13_y,0.00244475
117,t50_kp23_y,0.00243775
118,t12_kp02_y,0.00243743
119,t49_kp17_y,0.00242844
120,t59_kp06_y,0.00242587
121,t51_kp00_y,0.00242584
122,t46_kp15_y,0.00242236
123,t48_kp15_y,0.00241412
124,t15_kp06_y,0.00240520
125,t49_kp18_y,0.00239426
126,t57_kp05_y,0.00238784
127,t40_kp19_y,0.00237331
128,t48_kp00_y,0.00237321
129,t15_kp01_y,0.00237242
130,t58_kp20_y,0.00236575
131,t54_kp18_y,0.00236181
132,t47_kp04_y,0.00234656
133,t48_kp09_y,0.00234488
134,t13_kp10_y,0.00234462
135,t59_kp10_y,0.00232555
136,t47_kp16_y,0.00231780
137,t03_kp06_y,0.00230091
138,t47_kp20_y,0.00228227
139,t56_kp11_y,0.00228141
140,t14_kp05_y,0.00226108
141,t17_kp01_y,0.00225254
142,t09_kp02_y,0.00225080
143,t07_kp00_y,0.00221989
144,t06_kp09_y,0.00221627
145,t13_kp02_y,0.00219125
146,t15_kp02_y,0.00217685
147,t16_kp06_y,0.00216122
148,t08_kp01_y,0.00216051
149,t16_kp09_y,0.00215659
150,t13_kp06_y,0.00214174
151,t58_kp23_y,0.00213748
152,t17_kp10_y,0.00213267
153,t18_kp05_y,0.00206500
154,t16_kp08_y,0.00205361
155,t18_kp04_y,0.00203447
156,t15_kp05_y,0.00198219
157,t17_kp08_y,0.00196214
158,t12_kp01_y,0.00194631
159,t14_kp02_y,0.00186818
160,t11_kp09_y,0.00185789
161,t17_kp05_y,0.00184681
162,t12_kp04_y,0.00176446
163,t13_kp07_y,0.00174516
164,t11_kp11_y,0.00174384
